"product_name","product_brand","units_sold","revenue"
"Men's Classic Sheepskin B-3 Bomber Jacket","Overland Sheepskin Co","9","5355"
"Alpha Industries Rip Stop Short","Alpha Industries","5","4995"
"Nobis Tula Parka","Nobis","6","4950"
"Arc'teryx Moray Jacket - Women's","Arc'teryx","7","4893"
"Robert Graham Men's Barbican Velvet Blazer","Robert Graham","7","4886"
"Diesel Men's Jimeneo Jacket","Diesel","7","4886"
"DOLCE & GABBANA DG4167 501/8G BLACK GRAY GRADIENT 5917","Dolce & Gabbana","20","4860"
"Men's Andrew Marc Nucky Lambskin Leather Bomber Jacket with Sheepskin Collar","Andrew Marc","10","4790"
"French Connection Women's Solar Heat Dress","French Connection","12","4776"
"Magaschoni Women's 100% Cashmere Cable Sweater Jacket","Magaschoni","8","4704"
"Joseph Abboud Men's 2 Button Side Vent Stripe Suit With Flat Front Pant","Joseph Abboud","11","4587"
"Barbour Bedale Wax Cotton Jacket Olive","Barbour","12","4548"
"ASCIS Cushion Low Socks (Pack of 3)","ASICS","5","4515"
"The North Face Nuptse 2 Jacket - Noah Green/TNF Black","The North Face","5","4515"
"Jordan Low Quarter Sock Style # 427411","Nike","5","4515"
"Men's Full Length Overcoat in Pure Cashmere","Cashmere Boutique","10","4490"
"BCBGMAXAZRIA Women's Bowie Tuxedo Jacket","BCBGMAXAZRIA","22","4463.910049438477"
"Joseph Abboud Men's Super 120's Two Button Side Vent Single Pleat Pant Tuxedo With Grosgrain Notch Lapel","Joseph Abboud","11","4457.860107421875"
"Bali Women's One Smooth U-back Underwire","Bali","14","4432.400085449219"
"True Religion Men's Ricky Super T Straight Jean","True Religion","13","4427"
"Canada Goose Men's Lodge Jacket","Canada Goose","11","4400"
"Parker Women's Strapless Studded Dress","Parker","11","4356"
"Marc New York by Andrew Marc Men's Nucky Natural Rugged Lamb Bomber Jacket with Shearling Collar","Marc New York by Andrew Marc","10","4290"
"GUESS by Marciano Woven Blazer","GUESS by Marciano","13","4264"
"Joseph Abboud Men's Two-button Side Vent Sport Coat","Joseph Abboud","16","4224"
"Diesel Men's Lagnum Leather Jacket","Diesel","7","4186"
"Canada Goose Men's Langford Parka","Canada Goose","6","4169.7000732421875"
"Tracy Reese Women's Applique Frock","Tracy Reese","11","4158"
"Joseph Abboud Men's 2 Button Side Vent Plaid Sport Coat","Joseph Abboud","15","4144.800109863281"
"True Religion Men's Bobby Zipper Jean","True Religion","15","4128"
"Parker Women's Beaded Shift Dress","Parker","11","4048"
"Calvin Klein Men's Slim Fit Coat","Calvin Klein","23","4025"
"The North Face Apex Bionic Soft Shell Jacket - Women's","The North Face","13","4004"
"Arc'teryx Women's Stingray Jacket","Arc'teryx","8","3992"
"Levi's Men's Leather Racer Jacket","Levi's","14","3979.9200439453125"
"7 For All Mankind Women's Kimmie Bootcut Jean","7 For All Mankind","21","3969"
"G-Star Men's Cl New Blazer","G-Star","11","3960"
"Robert Rodriguez Women's Lace V-Neck Tiered Dress","Robert Rodriguez","8","3960"
"MiH Jeans Women's Aztec Jacket","MiH Jeans","8","3960"
"Savile Row Mens Grey Herringbone Wool Cashmere Jacket","The Savile Row Company","14","3906"
"McGinn Women's Sasha Tweed Jacket","McGinn","12","3900"
"Joe's Jeans Men's Rebel Relaxed Fit Jean","Joe's Jeans","25","3887.190010070801"
"Filson Men's Mackinaw Cruiser Jacket","Filson","13","3874"
"Arc'teryx Theta SV Jacket - Men's","Arc'teryx","7","3850"
"Steinbock Tyrolean Sport Coat","Orvis","11","3850"
"BGSD Women's New Zealand Lambskin Leather Hooded Parka Coat with Fox Fur Trim in Black or Brown - Misses & Plus","BGSD","12","3839.8798828125"
"Nicole Miller Women's Stretchy Matte Jersey Cowl Neck Dress","Nicole Miller","11","3795"
"Hudson Women's Collin Skinny Jean","Hudson","19","3762"
"7 For All Mankind Men's Austyn Relaxed Straight Leg Jean","7 For All Mankind","19","3762"
"Arc'teryx Men's Alpha SV Jacket","Arc'teryx","6","3750"
"Oakley Frogskin Polarized Aviator Sunglasses","Oakley","25","3750"
"The North Face Womens Khumbu Jacket Brown White Black Red","The North Face","12","3696"
"Women's Knee Length Overcoat in Pure Cashmere","Cashmere Boutique","9","3591"
"Barbour Summit Zip Thru Sweater","Orvis","12","3588"
"Rebecca Minkoff Women's Leather Luciana Skirt","Rebecca Minkoff","6","3588"
"Zoot Sports Men's Ultra Speedzoot Swim Race Suit","Zoot","13","3574.869873046875"
"Tom Ford Marko FT0144 Sunglasses - 18V Shiny Rhodium (Blue Lens) - 58mm","Tom Ford","12","3569.400146484375"
"DKNY Men's 100% Wool Black Tuxedo","DKNY","12","3540"
"Carhartt Men's Big-Tall Flame Resistant Heavyweight Duck Bomber Jacket","Carhartt","15","3524.2499542236324"
"Oakley Men's Iridium Fuel Cell Rectangular Sunglasses","Oakley","22","3520"
"Magaschoni Women's 100% Cashmere Turtleneck Tunic Sweater","Magaschoni","11","3520"
"Sandals Cay Men's Three-Button Cashmere Blend Sport Coat in Gray Navy or Tan","Sandals Cay","7","3499.929931640625"
"Columbia Men's Peak 2 Jacket","Columbia","10","3499.5001220703125"
"Arc'teryx Women's Caliber Cardigan","Arc'teryx","5","3495"
"Gucci 1013/S Sunglasses","Gucci","20","3466.6200103759766"
"Ray Ban RB3479 Folding Aviator Sunglasses - 001 Arista (G-15XLT Lens) - 58mm","Ray-Ban","19","3458"
"Diesel Men's Zathan Regular Bootcut Jean","Diesel","17","3437.149948120117"
"True Religion Men's Geno Workwear Slim Jean","True Religion","12","3432"
"Barbour Sapper Jacket","Barbour","8","3432"
"True Religion Men's Geno Baja Slim Jean","True Religion","13","3432"
"Faconnable Men's Double Face Wool Jacket","Faconnable","7","3412.5"
"7 For All Mankind Men's The Modern Straight Leg Jean","7 For All Mankind","19","3407.870071411133"
"Paul Fredrick Striped Linen Double-Breasted Suit","Paul Fredrick","8","3396"
"Paul Fredrick Performance 100% Wrinkle \ Stain Resistant Wool Suit","Paul Fredrick","8","3396"
"Men's Henningsvaer Norwegian Wool Pullover","Overland Sheepskin Co","10","3380"
"Diesel Men's Jamaar Jacket","Diesel","9","3375"
"Arc'teryx Theta SL Hybrid Jacket - Men's","Arc'teryx","9","3374.5501098632817"
"Nicole Miller Women's Cutout Back Stretch Lace Dress","Nicole Miller","8","3360"
"Arc'teryx Men's Beta AR Jacket","Arc'teryx","7","3325"
"LINCS DC &Co Men's Double Knit Blazer","LINCS DC & Co","12","3318"
"Diesel Men's Krooley Regular Carrot Jean","Diesel","13","3315"
"Mountain Hardwear Women's Citilicious Coat","Mountain Hardwear","11","3300"
"Woolrich Women's Bristol Duffle Jacket","Woolrich","11","3289"
"True Religion Women's Vintage Billy Straight Jean","True Religion","11","3267"
"IGIGI by Yuliya Raquel Plus Size Kandinsky Gown","IGIGI by Yuliya Raquel","10","3250"
"Paul Fredrick Wool \ Silk Three-Button Houndstooth Sportcoat","Paul Fredrick","12","3234"
"7 For All Mankind Women's Roxanne Slim Fit Jean","7 For All Mankind","18","3231.9499893188477"
"Joe's Jeans Men's Slim Fit Straight Leg Brixton","Joe's Jeans","17","3231"
"Ray-Ban ORB8307 Aviator Sunglasses","Ray-Ban","21","3220.4299926757812"
"Diesel Men's Zathan Regular Bootcut Fit Jean","Diesel","15","3209.2499542236324"
"Regency New York Men's Smoking Jacket Constantine Black","Regency New York","8","3199.6000976562505"
"Robert Graham Men's Gamboge Striped Sport Shirt","Robert Graham","14","3192"
"Joseph Abboud Men's 2 Button Side Vent Suit with Flat Front Pant","Joseph Abboud","8","3192"
"Arc'teryx Women's Sylva Parka","Arc'teryx","8","3192"
"Rebecca Minkoff Women's Ponte Ryder Jacket","Rebecca Minkoff","8","3184"
"Arc'teryx Men's Sabre Jacket","Arc'teryx","6","3150"
"Pendleton The Portland Collection Women's Dolman Overcoat","Pendleton","9","3150"
"Barbour International Motorcycle Jacket / Barbour International Motorcycle Jacket","Barbour","7","3143"
"True Religion Men's Ricky Nickel Stud Logo Jean","True Religion","13","3129.75"
"Tommy Hilfiger Men's Plaid Trim Fit Suit","Tommy Hilfiger","12","3119.8798828125"
"Sunglasses Gucci 4225/S 0ADJ White","Gucci","13","3119.349960327148"
"Ted Baker Men's Moosh Blazer","Ted Baker","9","3118.5"
"Magaschoni Women's 100% Cashmere Boat Neck Sweater","Magaschoni","9","3096"
"Yoana Baraschi Women's Apres Tennis Boyfriend Blazer","Yoana Baraschi","9","3087"
"True Religion Men's TRBJ Ricky Straight Jean","True Religion","12","3084"
"Lucky Brand Mens Men's 361 Vintage Straight Denim Jean","Lucky Brand","31","3069"
"Ray-Ban Meteor Wayfarer Sunglasses","Ray-Ban","19","3040"
"Derek Rose Men's Pajama Set","Derek Rose","11","3025"
"French Connection Women's Classic Wonderwool Coat","French Connection","13","3008.4599761962886"
"Marc New York by Andrew Marc Men's Liam Smooth Lamb Car Coat with Bib","Marc New York by Andrew Marc","7","3003"
"Regency New York Men's Smoking Jacket Horatio Black","Regency New York","10","2999.5001220703125"
"AG Adriano Goldschmied Men's Matchbox Slim Straight Jean","AG Adriano Goldschmied","19","2997.9200439453125"
"Rebecca Minkoff Women's Becky Jacket","Rebecca Minkoff","10","2993.280029296875"
"Tommy Hilfiger Men's Two Button Trim Fit 100% Wool Suit Separate Coat","Tommy Hilfiger","13","2989.8700714111333"
"PAIGE Women's Maternity Union Skyline Straight Jean","PAIGE","15","2985"
"Country Corduroy Sport JacketÃ‚â€”with S-t-r-e-t-c-h / Regular","Orvis","10","2980"
"Cluny Women's Printed Skirt","Cluny","12","2976"
"Alpha Industries A-2 Leather Jacket","Alpha Industries","7","2975"
"Canada Goose Women's Camp Hooded Jacket","Canada Goose","6","2970"
"Eva Franco Women's Alexa V-Neck Dress","Eva Franco","11","2970"
"Paul Fredrick Cotton Velvet Two-Button Houndstooth Sportcoat","Paul Fredrick","11","2964.5"
"Wrangler Men's Premium Performance Cowboy Cut Jean","Wrangler","62","2950.9100608825684"
"BCBGMAXAZRIA Women's Seri Woven Evening Dress","BCBGMAXAZRIA","8","2944"
"Champion Men's Double Dry Classic Fleece Full Zip Hood","Champion","10","2933.2998657226562"
"Yoana Baraschi Women's Gotham Tux Blazer","Yoana Baraschi","8","2928"
"Lightweight Highland Tweed Sport Coat / Regular","Orvis","9","2925"
"Diesel Men's Safado Slim Straight-Leg Jean","Diesel","9","2925"
"Alice & Trixie Women's Georgina Tunic","Alice & Trixie","9","2925"
"Dale Of Norway Nordlys Cardigan","Orvis","9","2925"
"Anne Klein Collection Women's Shawl Collar Jacket","Anne Klein","12","2914.4400634765625"
"Vivienne Westwood Red Label Women's Giacca Plaid Jacket","Vivienne Westwood","6","2910"
"NAU Highline Blazer Women's Clothing","NAU","7","2904.650085449219"
"Trina Turk Women's Pasha Pant","Trina Turk","10","2880"
"BGSD Women's New Zealand Lambskin Leather Walking Coat - Misses & Plus","BGSD","9","2879.909912109375"
"Merrell Women's Ellenwood Insulated Coat","Merrell","12","2878.920043945312"
"4 Ply Shephe Men's Mock Turtleneck Cashmere Sweater","Shephe","13","2873"
"Autumn Cashmere Women's Color Block Hi Low Raglan","Autumn Cashmere","9","2871"
"True Religion Men's Ricky Spt Straight Jean","True Religion","9","2871"
"Agave Men's Waterman Relaxed Grey Jean","Agave","14","2870"
"Joe's Jeans Men's Brixton Jean","Joe's Jeans","16","2864"
"Alpha Industries A-2 Goatskin Leather Jacket","Alpha Industries","9","2862"
"Oakley Men's Radar Path Iridium Polarized Sunglasses","Oakley","11","2860"
"Tracy Reese Women's Contrast Frock Dress","Plenty by Tracy Reese","7","2856"
"Oakley Men's Flak Jacket XLJ Iridium Sunglasses","Oakley","19","2850"
"Tommy Hilfiger Men's 2 Button Side Vent Trim Fit Solid Suit with Flat Front Pant","Tommy Hilfiger","11","2848.889892578125"
"Pendleton Women's Trimmed Herringbone Blazer","Pendleton","11","2838"
"HALSTON HERITAGE Women's Oversized Double Faced Coat","Halston Heritage","6","2825.93994140625"
"Spiewak Men's Grant Deck Parka","Spiewak","10","2820"
"True Religion Men's Ricky Super T Straight Stitch Jean","True Religion","8","2816"
"Joseph Abboud Mens 2 Button Gray Sharkskin Wool Suit","Joseph Abboud","10","2799.89990234375"
"Regency New York Men's Smoking Jacket Maxwell Black","Regency New York","7","2799.650085449219"
"7 For All Mankind Men's Austyn Relaxed Straight Jean","7 For All Mankind","14","2798"
"Evisu European edition Vintage cut denim jeans","Evisu","8","2793.360107421875"
"Cwu Pilot 183111 45P Vintage","Alpha Industries","7","2793"
"Men's Knee Length Overcoat in Pure Cashmere","Cashmere Boutique","7","2793"
"Barbour Classic Beaufort Jacket / Beaufort Jacket","Barbour","7","2793"
"Barbour Beaufort Jacket","Barbour","7","2793"
"Woolrich Women's Arctic Parka","Woolrich","8","2792"
"Canada Goose Women's Chilliwack Bomber","Canada Goose","4","2780"
"Canada Goose Women's Whistler Parka","Canada Goose","4","2780"
"Mens Brown Sheepskin Flying Jacket 'Air force' Aviator Leather coat #S5","Unicorn London","7","2778.929931640625"
"Diesel - Mens Larkee 008QM Jeans","Diesel","15","2775"
"Joe's Jeans Women's Opale Jacket","Joe's Jeans","7","2765"
"ILSE JACOBSEN Women's Rain 6b Soft Shell Coat","ILSE JACOBSEN","8","2760"
"A Pea in the Pod Collection: BCBG Long Sleeve Exposed Zipper Maternity Dress","BCBGMAXAZRIA","10","2750"
"Ralph Lauren Mens Single Breasted 2 Button Navy Blue Wool Blazer Sport Coat Jacket","Ralph Lauren","11","2749.890060424805"
"Mantoni 1 Button PEAK Lapel Men's Tuxedo Suit with Vest Solid Black 100% Virgin Wool","Giorgio Fiorelli","11","2749.4499664306636"
"Washed-tweed Dress Vest","Orvis","11","2739"
"Diesel Women's Getlegg Jean","Diesel","16","2736.199996948242"
"Mens Nike AirJordan Varsity Hoodie Jacket Grey / Black 451582-066","Jordan","3","2709"
"7 For All Mankind Men's Austyn Relaxed Straight Leg Jean in Los Angeles Dark","7 For All Mankind","16","2704"
"Tommy Hilfiger Men's Pin Stripe Trim Fit Suit","Tommy Hilfiger","14","2701.1600341796875"
"Pendleton The Portland Collection Women's Josephine Blazer","Pendleton","9","2700"
"Ibex Women's Pez Lng Sweater","Ibex","12","2700"
"Mountain Hardwear Men's Ghost Whisperer Hooded Down Jacket","Mountain Hardwear","9","2700"
"Canada Goose Men's Lodge Down Hoody","Canada Goose","6","2700"
"Volcom Men's Three's Ins Jacket","Volcom","10","2700"
"Smartwool Men's Midweight Funnel Zip","SmartWool","18","2699.0999450683594"
"Diesel Men's Lophophora Leather Jacket","Diesel","3","2694"
"Women's Full Length Overcoat in Pure Cashmere","Cashmere Boutique","6","2694"
"True Religion Men's Ricky Super Jean","True Religion","7","2681"
"Men's St. Croix Long Sleeve Double Lock 1/4 Zip Sweater","St Croix","8","2680"
"Faconnable Men's Double Closure Sweater Vest","Faconnable","8","2673.0400390625"
"Genuine leather Trench Coat - Style GFTRM","Giovanni Navarre","11","2665.189926147461"
"G-Star Raw - Mens Attacc Low Straight Leg Jeans in Dark Aged","G-Star","15","2664.8499755859375"
"G-Star Men's CL Ruston Blazer","G-Star","7","2660"
"Black Pleated Stretch Waist Lambskin Leather Skirt - Tyra","VIPARO","14","2659.29995727539"
"Halston Heritage Women's Wool Pencil Drape Skirt","Halston Heritage","9","2655"
"BarbourÃ‚Â® Beadnell Women's Wax Jacket - Sage","Barbour","7","2653"
"Barbour Classic Bedale Jacket / Barbour Active Classic Bedale Jacket","Barbour","7","2653"
"EARNEST SEWN DENIM Men's Fulton Slim Fit Jean","Earnest Sewn","10","2650"
"True Religion Men's Ricky SPT Boot Cut Jean","True Religion","11","2647.1499328613286"
"7 For All Mankind Women's The Skinny Jean","7 For All Mankind","17","2646.9000549316406"
"Costa Del Mar Brine Polarized Sunglasses - Costa 400 Glass Lens","Costa Del Mar","14","2645.29995727539"
"Catherine Malandrino Women's Stretch Leather Pant","Catherine Malandrino","5","2644.0499877929688"
"Diesel Men's Thanaz Skinny Jean","Diesel","11","2640"
"True Religion Men's TRBJ Flatlock Raw Edge Hoodie","True Religion","9","2639.9698791503906"
"Jessie G. Women's Belted New Zealand Lambskin Leather Trench Coat","Jessie G.","8","2639.919921875"
"Spyder Women's Jesst In Time Jacket","Spyder","4","2600"
"Diesel Men's Larkee Regular Fit Straight Leg Jean","Diesel","13","2574"
"True Religion Women's Brianna Baja Boyfriend Jean","True Religion","13","2573.8700714111333"
"Ray-Ban RB3407 Outdoorsman II Sunglasses","Ray-Ban","26","2567.5"
"Mountain Hardwear Men's Ghost Whisperer Down Jacket","Mountain Hardwear","9","2565"
"Paul Fredrick 100% Wool Double-Breasted Windowpane Suit","Paul Fredrick","6","2547"
"Paul Fredrick Herringbone Wool Blend Double-Breasted Suit","Paul Fredrick","6","2547"
"Perry Ellis Portfolio Men's Lamb Open Bottom Jacket","Perry Ellis","11","2531.539993286133"
"Levi's Men's Leather Racer Quilted Shoulders Jacket","Levi's","11","2529.890060424805"
"Jones New York Men's 2 Button Solid Sport Coat","Jones New York","12","2520"
"Woolrich Men's Langhorn Jacket","Woolrich","11","2519"
"Robert Graham Men's Gobline","Robert Graham","11","2508"
"Black Cloak Hoodie By Prairie Underground","Prairie Underground","10","2500"
"Ralph Lauren Women Plaid Wool Blazer Jacket","Ralph Lauren","10","2499.900054931641"
"Silk Tweed Jacket / Long","Orvis","10","2490"
"Joseph Abboud Men's 2 Button Structured Shoulder Side Vent Plaid Sport Coat","Joseph Abboud","9","2486.8800659179688"
"AG Adriano Goldschmied Men's Hero Relaxed Fit Jean","AG Adriano Goldschmied","16","2485.939987182617"
"Boston Harbour Men's Button Front Walker Jacket","Boston Harbour","10","2475"
"Maison Scotch Women's Long Wool Feminine Coat with Leather Details","Maison Scotch","10","2475"
"Robert Rodriguez Women's Beaded V-Neck Tank","Robert Rodriguez","9","2475"
"Derek Rose Men's Lightweight Flannel Classic Pajama Set","Derek Rose","9","2475"
"HALSTON HERITAGE Women's Sleeveless V-Neck Faille Dress","Halston Heritage","5","2475"
"Ray-Ban RB 2132 822/78 New Wayfarer Blue Gradient Polarized","Ray-Ban","19","2469.810104370117"
"7 For All Mankind Women's Roll Up Short","7 For All Mankind","17","2453"
"Mountain Hardwear Men's Nitrous Vest","Mountain Hardwear","14","2450"
"Lacoste Men's Club Cashmere Crewneck Sweater Blue","Lacoste","7","2449.8600769042964"
"7 For All Mankind Men's Austyn Straight Leg Jean","7 For All Mankind","17","2443"
"Magaschoni Women's 100% Cashmere Waterfall Cardigan","Magaschoni","7","2436"
"MAXSTUDIO SILK & COTTON TAILORED JACKET","MAXSTUDIO","7","2436"
"DKNY Mens 2 Button Flat Front Black Pinstripe Slim Fit Wool Suit","DKNY","9","2429.909912109375"
"Paul Fredrick Two-Button Fineline Stripe Sportcoat","Paul Fredrick","9","2425.5"
"Ray-Ban Aviator Sunglasses","Ray-Ban","18","2411.060073852539"
"Arc'teryx Atom LT Jacket - Women's","Arc'teryx","11","2409"
"Icebreaker Men's Legacy Hood","Icebreaker","6","2400"
"Oakley Men's Originate Jacket","Oakley","8","2400"
"Woolrich Men's Arctic Parka","Woolrich","6","2399.93994140625"
"Barbour Storm Half Zip Sweater Navy","Barbour","8","2399.919921875"
"Marc New York by Andrew Marc Men's Boston Rugged Lambskin Moto Jacket","Marc New York by Andrew Marc","8","2399.919921875"
"Jones New York Women's Hidden Snap Notch Collar Coat","Jones New York","4","2396"
"Diesel Men's Wiley Jacket","Diesel","12","2395.920043945312"
"Arc'teryx Women's Lanea Long Coat","Arc'teryx","6","2394"
"Arc'teryx Alpha FL Jacket - Men's","Arc'teryx","6","2394"
"BCBGMAXAZRIA Women's Jeisa Sleeveless Color Block Pleated Dress","BCBGMAXAZRIA","8","2384"
"Robert Rodriguez Women's High Waisted Pencil Skirt","Robert Rodriguez","4","2380"
"Earnest Sewn Men's Hutch","Earnest Sewn","12","2376"
"Kristen Blake Women's Saga Fox Shawl Collar Coat","Kristen Blake","10","2375"
"Arc'teryx Women's Beta AR Jacket","Arc'teryx","5","2375"
"United Face Womens Black Fox Fur Trim Hooded Leather Coat","United Face","7","2373"
"Joseph Abboud Men's Two-button Side Vent Blazer","Joseph Abboud","8","2368"
"GPUFashion 100% Silk Robe Mens","GPUFashion","11","2365"
"New Ray Ban RB 4179 601/9A Black Men Women Plastic Sunglasses","Ray-Ban","16","2361.8300170898438"
"Diesel Men's Larkee Regular Straight Leg Jean","Diesel","12","2355.749984741211"
"True Religion Men's Ricky Straight Corduroy Pant","True Religion","8","2346.639892578125"
"Marmot Athena Jacket - Women's","Marmot","9","2340"
"Kenneth Cole New York Men's 2 Piece Suit","Kenneth Cole New York","6","2339.93994140625"
"Tommy Hilfiger Men's Windowpane Trim Fit Suit","Tommy Hilfiger","9","2339.909912109375"
"Joseph Abboud Mens 2 Button Flat Front Solid Black Wool Suit","Joseph Abboud","9","2339.909912109375"
"Ball Gown Strapless Formal Prom Wedding Dress #2714","US Fairytailes","9","2339.909912109375"
"True Religion Men's Ricky Super-T Straight Jean","True Religion","7","2338"
"Costa Del Mar - Blackfin - Camo Frame-580 Green Mirror Glass Polarized Lenses","Costa Del Mar","9","2331"
"Supercords / Pleated Front Olive Cuffed","Orvis","13","2327"
"Robert Rodriguez Women's Pencil Skirt","Robert Rodriguez","5","2325"
"Pearl Izumi Men's Pro Softshell Jacket","Pearl iZUMi","10","2324.79995727539"
"A Pea in the Pod Collection: Joe's Jeans Cigarette Secret Fit Belly(r) 5 Pocket Skinny Leg Maternity Jeans","Joe's Jeans","12","2324"
"Tommy Hilfiger Men's Lamb 2 Pocket Moto Jacket","Tommy Hilfiger","8","2319.919921875"
"Calvin Klein Sportswear Men's Washable Pindot Jacket","Calvin Klein","13","2314"
"Pure Cashmere Robe for Men","Cashmere Boutique","8","2312"
"True Religion Men's Ricky Straight Leg Jean","True Religion","10","2310"
"Rodd & Gunn East End Knit","Rodd & Gunn","14","2310"
"Oakley Eyepatch 2 Rectangular Sunglasses","Oakley","23","2300"
"Ray Ban RB3447 Unisex Icons Sunglasses - Choice of Frame and Lens","Ray-Ban","23","2298.84992980957"
"HUGO BOSS Men's Long Pant","HUGO BOSS","31","2297.650032043457"
"Diesel Men's K-Nahoa Sweater","Diesel","7","2296"
"Michael Kors Men's Marlow Wool-Blend Single-Breasted Fitted Top Coat","Michael Kors","9","2295"
"Queenshiny Women's Knitted Mink Fur Vest","Queenshiny","10","2290"
"Ray Ban RB3479 Folding Aviator Sunglasses","Ray-Ban","18","2288.7000274658208"
"7 For All Mankind Men's Standard Classic Straight Leg Jean in Dark Blue Black","7 For All Mankind","11","2288"
"True Religion Billy Super T Jean","True Religion","7","2282"
"Joe's Jeans Men's Brixton Straight and Narrow Denim in Bradley","Joe's Jeans","12","2280"
"Diesel Men's Thavar Skinny Straight Jean","Diesel","7","2275"
"Rab Neutrino Endurance Down Jacket - Men's","RAB","7","2275"
"Velvet Women's Farah Allover Sequin Dress","Velvet","8","2272"
"7 For All Mankind Men's The Straight Modern Denim Jean","7 For All Mankind","12","2268"
"Tommy Bahama Flip Side Pro Half Zip (T21797)","Tommy Bahama","23","2254"
"Diesel Men's K-Kamea Sweater","Diesel","12","2252.880065917969"
"Pendleton The Portland Collection Women's Wallowa Cardigan","Pendleton","9","2250"
"Raffi Linea Uomo Men's 100% Cashmere Shawl Sweater","Raffi","10","2250"
"Craghoppers Men's Field Gore-Tex Jacket","Craghoppers","9","2250"
"Dolce & Gabbana White Jacket Blazer. M","Dolce & Gabbana","6","2250"
"Royal Robbins Women's Zip N' Go Pant","Royal Robbins","10","2249.4999694824214"
"Spyder Router Insulated Ski Pant Mens","Spyder","15","2249.249954223633"
"Parker Women's Open Back Dress","Parker","6","2244"
"Oakley Women's Caveat Aviator Sunglasses","Oakley","18","2241"
"Mod-O-Doc Men's Slub French Terry Modern Knit Blazer","Mod-O-Doc","14","2240"
"Jones New York Men's Athletic Fit Suit","Jones New York","8","2239.919921875"
"Carhartt Men's Tall Sandstone Jackson Coat","Carhartt","16","2239.840087890625"
"Joe's Jeans Men's Straight Leg Classic Fit","Joe's Jeans","12","2238"
"7 For All Mankind Men's The Brett Modern Bootcut Jean","7 For All Mankind","16","2236.870071411133"
"Diesel Men's Larkee 888A Regular Straight-Leg Jean","Diesel","13","2236"
"United Face Womens Rex Fur Leather Swing Coat","United Face","7","2233"
"Diesel Men's Jinkenitor Jacket","Diesel","8","2224"
"Hudson Women's Collin Slim Fit Skinny Jean","Hudson","15","2222.909980773926"
"Intimo Men's Classic Stretch Silk Pajamas","Intimo","12","2219.399963378906"
"Trina Turk Women's Chloe Text Coat","Trina Turk","8","2216.639892578125"
"True Religion Men's Bobby 1971 Jean","True Religion","9","2214"
"Vivienne Westwood Anglomania Women's Petite Noble Jacket","Vivienne Westwood","7","2205"
"Smartwool Women's PhD Smartloft Divide Full Zip","SmartWool","11","2200"
"Twelfth Street by Cynthia Vincent Women's Leather Placket Bell Sleeve","Twelfth Street by Cynthia Vincent","8","2200"
"Expedition Jacket","Scottevest","11","2200"
"DKNY Men's Slim Fit Black & White Suit","DKNY","11","2199.890060424805"
"Von Zipper Elmore Sunglasses","VonZipper","24","2198.7999267578125"
"Paul Fredrick 100% Wool Two-Button Plaid Sportcoat","Paul Fredrick","10","2195"
"Paul Fredrick Madras Cotton Two-Button Sportcoat","Paul Fredrick","11","2194.5"
